,date,BTCPrice,BTCnetworkhashrate,AverageBTCblocksize,NUAUBTC,NumberTXBTC,DifficultyBTC,TXfeesBTC,EstimatedTXVolumeUSDBTC,GoldinUSD,EthereumPrice,LitecoinPrice,BitcoinCashPrice,CardanoPrice,Nasdaqcompositeindex,DJI
1836,2013-04-28,135.3,74.5011506642,0.120677057141,107554,40986,8974296.015,32.57042361,22605050.0,1471.5,,4.3,,,3279.26001,14712.549805
1835,2013-04-29,134.44,80.7467561091,0.133634577799,73687,50009,8974296.015,35.83009291,41199388.0,1467.5,,4.37,,,3307.02002,14818.75
1834,2013-04-30,144.0,74.6333901792,0.176943650982,60887,48795,10076292.88,54.59361391,32294820.0,1469.0,,4.4,,,3328.790039,14839.799805
1833,2013-05-01,139.0,70.6262282904,0.159959745745,61672,50437,10076292.88,35.90344815,32988744.0,1454.75,,4.29,,,3299.129883,14700.950195
1832,2013-05-02,116.38,72.1289139987,0.181149747637,67744,57278,10076292.88,55.0843293,33019004.0,1469.25,,3.78,,,3340.620117,14831.580078
1831,2013-05-03,106.25,73.631599707,0.175324790332,70210,55859,10076292.88,49.20782248,34738967.0,1469.25,,3.39,,,3378.629883,14973.959961
1830,2013-05-04,98.1,77.1378663597,0.14923261048,56115,48349,10076292.88,42.74796187,19138832.0,1469.25,,3.03,,,3378.629883,14973.959961
1829,2013-05-05,112.9,77.1378663597,0.150220431291,55974,49419,10076292.88,38.14591919,22070654.0,1469.25,,3.49,,,3378.629883,14973.959961
1828,2013-05-06,115.98,81.6459234846,0.153041371539,64381,51244,10076292.88,50.99940307,32747255.0,1469.25,,3.59,,,3392.969971,14968.889648
1827,2013-05-07,112.25,88.1575615539,0.159965954044,89457,59215,10076292.88,45.04501941,48700263.0,1444.25,,3.37,,,3396.629883,15056.200195
1826,2013-05-08,109.6,81.6459234846,0.146846139358,95352,47359,10076292.88,49.35342081,37158553.0,1468.0,,3.28,,,3413.27002,15105.120117
1825,2013-05-09,113.2,83.1486091929,0.177025145795,70728,66370,10076292.88,68.44017033,18432038.0,1465.5,,3.4,,,3409.169922,15082.620117
1824,2013-05-10,112.8,83.649504429,0.187101461216,72244,67937,10076292.88,60.18777245,23437933.0,1426.5,,3.41,,,3436.580078,15118.490234
1823,2013-05-11,117.7,87.6566663178,0.183977121626,67240,70410,10076292.88,63.69813949,24070739.0,1426.5,,3.46,,,3436.580078,15118.490234
1822,2013-05-12,115.64,89.1593520261,0.17285727383,61435,69320,10076292.88,59.03344042,24398195.0,1426.5,,3.36,,,3436.580078,15118.490234
1821,2013-05-13,114.82,100.101885268,0.156985081567,65440,62190,11187257.46,60.08625448,30970356.0,1430.75,,3.26,,,3438.790039,15091.679688
1820,2013-05-14,117.98,81.7498729686,0.191748002759,68323,63287,11187257.46,54.66430818,23674574.0,1433.75,,3.28,,,3462.610107,15215.25
1819,2013-05-15,111.4,81.7498729686,0.202390865404,70212,66411,11187257.46,49.64959569,33062756.0,1410.0,,2.82,,,3471.620117,15275.69043
1818,2013-05-16,114.22,80.6376297989,0.199357138009,67246,60543,11187257.46,57.87351884,24772186.0,1381.0,,2.93,,,3465.23999,15233.219727
1817,2013-05-17,118.21,89.5355751561,0.172505307642,64560,60896,11187257.46,88.4985171,22302152.0,1368.75,,2.89,,,3498.969971,15354.400391
1816,2013-05-18,123.5,81.7498729686,0.158997717358,55716,51982,11187257.46,39.44980994,26655270.0,1368.75,,3.2,,,3498.969971,15354.400391
1815,2013-05-19,123.21,85.6427240623,0.137607493958,51111,47090,11187257.46,42.20084266,13956766.0,1368.75,,3.3,,,3498.969971,15354.400391
1814,2013-05-20,122.5,76.7447787052,0.158913011136,56966,50093,11187257.46,49.07464086,14724464.0,1354.75,,3.31,,,3496.429932,15335.280273
1813,2013-05-21,122.02,82.8621161382,0.1712911209,63976,54664,11187257.46,42.99289632,18248895.0,1360.75,,3.19,,,3502.120117,15387.580078
1812,2013-05-22,122.89,92.3161830802,0.150650621897,65369,53981,11187257.46,55.07809707,16951340.0,1408.5,,3.09,,,3463.300049,15307.169922
1811,2013-05-23,123.8,89.5355751561,0.155341089142,65171,54824,11187257.46,53.41115964,17289205.0,1380.5,,3.12,,,3459.419922,15294.5
1810,2013-05-24,126.3,90.0916967409,0.154722001817,67558,55106,11187257.46,41.98819177,18356960.0,1390.25,,3.17,,,3459.139893,15303.099609
1809,2013-05-25,133.1,103.913692158,0.148436069489,60147,55836,12153411.71,55.98522589,32328129.0,1390.25,,3.19,,,3459.139893,15303.099609
1808,2013-05-26,131.99,97.2680490551,0.126502516847,52307,39879,12153411.71,30.67004412,9320100.0,1390.25,,3.12,,,3459.139893,15303.099609
1807,2013-05-27,133.5,103.913692158,0.142933867698,59395,52377,12153411.71,47.80327835,12042798.0,1390.25,,3.23,,,3459.139893,15303.099609
1806,2013-05-28,129.77,97.8721984281,0.152959976667,56871,55138,12153411.71,54.56592486,21874484.0,1376.5,,3.1,,,3488.889893,15409.389648
1805,2013-05-29,129.0,101.497094666,0.150170224054,66689,54919,12153411.71,51.94317506,19647318.0,1382.5,,3.09,,,3467.52002,15302.799805
1804,2013-05-30,132.25,102.101244039,0.157768678383,63212,57170,12153411.71,46.71194711,19997470.0,1413.5,,3.08,,,3491.300049,15324.530273
1803,2013-05-31,128.8,112.37178338,0.141768301687,62386,57616,12153411.71,48.95769767,21623328.0,1394.5,,2.97,,,3455.909912,15115.570313
1802,2013-06-01,128.82,119.621575857,0.122364164603,59033,52390,12153411.71,39.3619438,12395215.0,1394.5,,2.94,,,3455.909912,15115.570313
1801,2013-06-02,129.3,123.246472095,0.116701612286,50677,51011,12153411.71,44.65643906,13732191.0,1394.5,,2.83,,,3455.909912,15115.570313
1800,2013-06-03,122.5,126.26721896,0.116384501663,58321,52048,12153411.71,49.50440017,21628574.0,1402.5,,2.73,,,3465.370117,15254.030273
1799,2013-06-04,120.74,126.871368333,0.127920418694,63518,60118,12153411.71,64.89014237,26471992.0,1399.5,,2.7,,,3445.26001,15177.540039
1798,2013-06-05,121.4,156.703562082,0.127096289455,67477,54947,15605632.68,60.62469501,20651670.0,1404.0,,2.87,,,3401.47998,14960.589844
1797,2013-06-06,121.9,138.085317082,0.142015408934,60098,55918,15605632.68,43.37307063,19417968.0,1400.0,,2.88,,,3424.050049,15040.620117
1796,2013-06-07,118.97,124.897393541,0.154354865507,60504,54331,15605632.68,40.4846895,26030025.0,1386.0,,2.78,,,3469.219971,15248.120117
1795,2013-06-08,111.0,130.327714999,0.12644918192,51054,47973,15605632.68,45.68561726,14984807.0,1386.0,,2.6,,,3469.219971,15248.120117
1794,2013-06-09,107.89,129.55195479100001,0.124418801176,45062,46237,15605632.68,36.50155661,22648459.0,1386.0,,2.55,,,3469.219971,15248.120117
1793,2013-06-10,100.44,139.636837499,0.103996112612,48672,42406,15605632.68,34.19488951,16832721.0,1383.25,,2.38,,,3473.77002,15238.589844
1792,2013-06-11,106.35,136.533796666,0.124763217839,57169,51208,15605632.68,47.23966648,15612185.0,1374.25,,2.49,,,3436.949951,15122.019531
1791,2013-06-12,109.0,155.152041666,0.103890504837,52722,46417,15605632.68,43.47723521,18866105.0,1382.75,,2.41,,,3400.429932,14995.230469
1790,2013-06-13,108.78,149.721720207,0.0996600580957,53645,43302,15605632.68,38.93851606,14604166.0,1385.0,,2.4,,,3445.360107,15176.080078
1789,2013-06-14,103.95,133.430755832,0.124817715135,60855,48124,15605632.68,38.16991619,19223868.0,1391.25,,2.27,,,3423.560059,15070.179688
1788,2013-06-15,100.0,136.533796666,0.104579513723,52008,41531,15605632.68,37.25196643,14288283.0,1391.25,,2.14,,,3423.560059,15070.179688
1787,2013-06-16,99.8,145.067158957,0.0934666771302,37955,40076,15605632.68,29.0746919,10344457.0,1391.25,,2.09,,,3423.560059,15070.179688
1786,2013-06-17,99.9,148.049400446,0.121433710123,45693,43399,19339258.27,35.05299427,11990898.0,1384.75,,2.14,,,3452.129883,15179.849609
1785,2013-06-18,101.95,140.358522501,0.140300979353,48967,47025,19339258.27,36.99237474,15606642.0,1366.75,,2.28,,,3482.179932,15318.230469
1784,2013-06-19,107.05,120.169967895,0.163297370911,55778,46903,19339258.27,36.13715542,15008169.0,1372.75,,2.3,,,3443.199951,15112.19043
1783,2013-06-20,108.25,140.358522501,0.148688838906,54530,49440,19339258.27,62.60148592,16649067.0,1292.5,,2.3,,,3364.639893,14758.320313
1782,2013-06-21,111.29,166.315235566,0.14012800338,58295,52994,19339258.27,55.51629176,20329679.0,1295.25,,2.33,,,3357.25,14799.400391
1781,2013-06-22,109.5,165.353875823,0.111183754233,49708,42571,19339258.27,45.58428107,11644483.0,1295.25,,2.86,,,3357.25,14799.400391
1780,2013-06-23,108.2,169.199314796,0.099417144602,41462,40634,19339258.27,40.63780671,11109050.0,1295.25,,2.9,,,3357.25,14799.400391
1779,2013-06-24,107.9,137.474443272,0.126782844117,48326,40963,19339258.27,37.82404209,15989758.0,1286.75,,3.13,,,3320.76001,14659.55957
1778,2013-06-25,102.09,142.281241987,0.132571858329,50770,45588,19339258.27,36.22112769,15094760.0,1279.0,,2.85,,,3347.889893,14760.30957
1777,2013-06-26,103.33,181.696991457,0.103714584674,54518,45576,19339258.27,38.21914872,16456972.0,1236.25,,2.81,,,3376.219971,14910.139648
1776,2013-06-27,104.0,159.585717364,0.125443223011,51936,46797,19339258.27,33.13590698,14300350.0,1232.75,,2.88,,,3401.860107,15024.490234
1775,2013-06-28,101.74,161.50843685,0.126948651813,53524,48324,19339258.27,47.29444705,16447575.0,1192.0,,3.04,,,3403.25,14909.599609
1774,2013-06-29,94.66,170.754179026,0.110869348419,55499,38973,21335329.11,25.79585074,12964846.0,1192.0,,2.76,,,3403.25,14909.599609
1773,2013-06-30,95.0,173.935933914,0.0887400348012,41271,32994,21335329.11,19.88041027,10045786.0,1192.0,,2.79,,,3403.25,14909.599609
1772,2013-07-01,97.51,162.269499323,0.0984449261933,49206,34053,21335329.11,31.95531521,19434641.0,1242.75,,3.01,,,3434.48999,14974.959961
1771,2013-07-02,88.05,166.511839174,0.118212517659,56769,43264,21335329.11,37.0769864,23261977.0,1252.5,,2.95,,,3433.399902,14932.410156
